"Timestamp","Total score","Participant ID:","Participant ID [Score]","Participant ID [Feedback]","What is the main purpose of this paper?","What is the main purpose of this paper? [Score]","What is the main purpose of this paper? [Feedback]","A limitation of traditional sequential dynamic programming in string matching is:","A limitation of traditional sequential dynamic programming in string matching is: [Score]","A limitation of traditional sequential dynamic programming in string matching is: [Feedback]","The proposed skipping can reduce the execution time of approximate string when:","The proposed skipping can reduce the execution time of approximate string when: [Score]","The proposed skipping can reduce the execution time of approximate string when: [Feedback]","A difference between human perception of string similarity and traditional edit distance metrics is that:","A difference between human perception of string similarity and traditional edit distance metrics is that: [Score]","A difference between human perception of string similarity and traditional edit distance metrics is that: [Feedback]","Why is it beneficial to skip step calculations?","Why is it beneficial to skip step calculations? [Score]","Why is it beneficial to skip step calculations? [Feedback]","What is an important assumption made in the paper’s experimental evaluation?","What is an important assumption made in the paper’s experimental evaluation? [Score]","What is an important assumption made in the paper’s experimental evaluation? [Feedback]","According to the authors, why cannot previous  theoretical approaches improve performance in Levenshtein distance calculations?","According to the authors, why cannot previous  theoretical approaches improve performance in Levenshtein distance calculations? [Score]","According to the authors, why cannot previous  theoretical approaches improve performance in Levenshtein distance calculations? [Feedback]","Traditionally, insertion, deletion, replacement and ___________  are used as basic operators to calculate the distance between the input sequence and target pattern.","Traditionally, insertion, deletion, replacement and ___________  are used as basic operators to calculate the distance between the input sequence and target pattern. [Score]","Traditionally, insertion, deletion, replacement and ___________  are used as basic operators to calculate the distance between the input sequence and target pattern. [Feedback]","How can the similarity between two strings be quantified?","How can the similarity between two strings be quantified? [Score]","How can the similarity between two strings be quantified? [Feedback]","What is the purpose of using a pruning register?","What is the purpose of using a pruning register? [Score]","What is the purpose of using a pruning register? [Feedback]"
"2025/05/12 11:39:01 am GMT+3","7.00 / 10","007","-- / 0","","To introduce a method for reducing execution time in sequential approximate string matching","1.00 / 1","","It is slow due to data dependency in calculations","1.00 / 1","","The input sequences are long and complex","0.00 / 1","","Humans consider semantics and character relationships, while edit distance does not","1.00 / 1","","It reduces execution time by avoiding unnecessary computations","1.00 / 1","","Hamming distance is more efficient than Levenshtein distance","0.00 / 1","","They do not consider the overhead of checking k-mismatches","1.00 / 1","","transposition","1.00 / 1","","By measuring the minimum number of basic operations needed to transform one string into another","1.00 / 1","","To ensure every character in the input is processed sequentially","0.00 / 1",""
"2025/05/12 1:52:42 pm GMT+3","6.00 / 10","011","-- / 0","","To develop a new edit distance metric that replaces Levenshtein distance","0.00 / 1","","It only works on specialized hardware","0.00 / 1","","k is small","1.00 / 1","","Humans consider semantics and character relationships, while edit distance does not","1.00 / 1","","It reduces execution time by avoiding unnecessary computations","1.00 / 1","","The proposed method works best with parallel computing","0.00 / 1","","They only work for exact string matching","0.00 / 1","","transposition","1.00 / 1","","By measuring the minimum number of basic operations needed to transform one string into another","1.00 / 1","","To skip unnecessary step calculations when previous steps exceed k-mismatches","1.00 / 1",""
"2025/05/12 2:28:10 pm GMT+3","7.00 / 10","013","-- / 0","","To develop a new edit distance metric that replaces Levenshtein distance","0.00 / 1","","It is slow due to data dependency in calculations","1.00 / 1","","k is small","1.00 / 1","","Humans consider semantics and character relationships, while edit distance does not","1.00 / 1","","It reduces execution time by avoiding unnecessary computations","1.00 / 1","","The proposed method works best with parallel computing","0.00 / 1","","They do not consider the overhead of checking k-mismatches","1.00 / 1","","swapping","0.00 / 1","","By measuring the minimum number of basic operations needed to transform one string into another","1.00 / 1","","To skip unnecessary step calculations when previous steps exceed k-mismatches","1.00 / 1",""
"2025/05/13 12:31:14 pm GMT+3","6.00 / 10","018","-- / 0","","To introduce a method for reducing execution time in sequential approximate string matching","1.00 / 1","","It is slow due to data dependency in calculations","1.00 / 1","","k is small","1.00 / 1","","Humans always prefer shorter strings","0.00 / 1","","It makes dynamic programming more accurate","0.00 / 1","","Hamming distance is more efficient than Levenshtein distance","0.00 / 1","","They do not consider the overhead of checking k-mismatches","1.00 / 1","","transposition","1.00 / 1","","By converting the strings into binary form and using a XOR function","0.00 / 1","","To skip unnecessary step calculations when previous steps exceed k-mismatches","1.00 / 1",""
"2025/05/13 3:30:13 pm GMT+3","8.00 / 10","021","-- / 0","","To propose a parallel computing method for approximate string matching","0.00 / 1","","It is slow due to data dependency in calculations","1.00 / 1","","k is small","1.00 / 1","","Humans consider semantics and character relationships, while edit distance does not","1.00 / 1","","It reduces execution time by avoiding unnecessary computations","1.00 / 1","","String similarity is based on shape and keyboard character positions","1.00 / 1","","They do not consider the overhead of checking k-mismatches","1.00 / 1","","reversal","0.00 / 1","","By measuring the minimum number of basic operations needed to transform one string into another","1.00 / 1","","To skip unnecessary step calculations when previous steps exceed k-mismatches","1.00 / 1",""
"2025/05/19 10:57:57 am GMT+3","7.00 / 10","023","-- / 0","","To develop a new edit distance metric that replaces Levenshtein distance","0.00 / 1","","It is slow due to data dependency in calculations","1.00 / 1","","k is small","1.00 / 1","","Humans consider semantics and character relationships, while edit distance does not","1.00 / 1","","It reduces execution time by avoiding unnecessary computations","1.00 / 1","","The proposed method works best with parallel computing","0.00 / 1","","They do not consider the overhead of checking k-mismatches","1.00 / 1","","reversal","0.00 / 1","","By measuring the minimum number of basic operations needed to transform one string into another","1.00 / 1","","To skip unnecessary step calculations when previous steps exceed k-mismatches","1.00 / 1",""
"2025/06/11 11:47:37 am GMT+3","9.00 / 10","028","-- / 0","","To introduce a method for reducing execution time in sequential approximate string matching","1.00 / 1","","It is slow due to data dependency in calculations","1.00 / 1","","k is small","1.00 / 1","","Humans consider semantics and character relationships, while edit distance does not","1.00 / 1","","It reduces execution time by avoiding unnecessary computations","1.00 / 1","","The proposed method works best with parallel computing","0.00 / 1","","They do not consider the overhead of checking k-mismatches","1.00 / 1","","transposition","1.00 / 1","","By measuring the minimum number of basic operations needed to transform one string into another","1.00 / 1","","To skip unnecessary step calculations when previous steps exceed k-mismatches","1.00 / 1",""
"2025/06/11 1:02:04 pm GMT+3","4.00 / 10","032","-- / 0","","To develop a new edit distance metric that replaces Levenshtein distance","0.00 / 1","","It always provides incorrect results for approximate matching","0.00 / 1","","The input sequences are long and complex","0.00 / 1","","Edit distance calculations are not influenced by emotions","0.00 / 1","","It eliminates the need for a Levenshtein distance calculation","0.00 / 1","","The proposed method works best with parallel computing","0.00 / 1","","They do not consider the overhead of checking k-mismatches","1.00 / 1","","transposition","1.00 / 1","","By measuring the minimum number of basic operations needed to transform one string into another","1.00 / 1","","To skip unnecessary step calculations when previous steps exceed k-mismatches","1.00 / 1",""
"2025/06/12 11:47:41 am GMT+3","9.00 / 10","037","-- / 0","","To introduce a method for reducing execution time in sequential approximate string matching","1.00 / 1","","It is slow due to data dependency in calculations","1.00 / 1","","k is small","1.00 / 1","","Humans consider semantics and character relationships, while edit distance does not","1.00 / 1","","It reduces execution time by avoiding unnecessary computations","1.00 / 1","","The proposed method works best with parallel computing","0.00 / 1","","They do not consider the overhead of checking k-mismatches","1.00 / 1","","transposition","1.00 / 1","","By measuring the minimum number of basic operations needed to transform one string into another","1.00 / 1","","To skip unnecessary step calculations when previous steps exceed k-mismatches","1.00 / 1",""
"2025/06/12 1:02:23 pm GMT+3","8.00 / 10","041","-- / 0","","To introduce a method for reducing execution time in sequential approximate string matching","1.00 / 1","","It is slow due to data dependency in calculations","1.00 / 1","","k is small","1.00 / 1","","Humans consider semantics and character relationships, while edit distance does not","1.00 / 1","","It reduces execution time by avoiding unnecessary computations","1.00 / 1","","String similarity is based on shape and keyboard character positions","1.00 / 1","","They do not consider the overhead of checking k-mismatches","1.00 / 1","","transposition","1.00 / 1","","By converting the strings into binary form and using a XOR function","0.00 / 1","","To store all previous computations for future reuse","0.00 / 1",""
